award_id,cancelled_trump,title,directorate,start_date,year,state,org_name,end_date,award_amount
"=""2115126""",no,Collaborative Research: National Symposium on PRedicting Emergence of Virulent Entities by Novel Technologies (PREVENT),CCF,02/01/2021,2021,GA,Georgia Tech Research Corporation,09/30/2021,66071.0
"=""2110337""",no,Virtual Sequential Labs for Selection of the Next OOI Pioneer Array Location,OCE,02/01/2021,2021,RI,University of Rhode Island,10/31/2021,236079.0
"=""2044061""",no,SCC-CIVIC-PG Track B: A tourism decision support system for Western gateway and natural amenity region communities,CNS,02/01/2021,2021,UT,Utah State University,07/31/2021,49954.0
"=""2105866""",no,"I-Corps:  Layered Multi-functional Building Panel for Energy Efficient, Affordable Housing",TI,02/01/2021,2021,MN,University of Minnesota Duluth,12/31/2021,50000.0
"=""2014230""",no,SBIR Phase I:  Autonomous and permanently deployed ship hull inspection and cleaning vehicle,TI,02/01/2021,2021,CA,O-Robotix Inc,07/31/2021,225000.0
"=""2035620""",no,SBIR Phase I:  Experimental validation of an innovative lift-generating mechanism for use in future VTOL Aircraft.,TI,02/01/2021,2021,NC,"NOVO AERO TECHNOLOGY, INC.",12/31/2021,230311.0
"=""2128611""",no,Advancing Fractional Combinatorial Optimization: Computation and Applications,DMS,02/01/2021,2021,CA,University of Southern California,09/30/2021,122773.0
"=""2049875""",no,I-Corps: Low-Cost Holographic TelePresence System,TI,02/01/2021,2021,NC,University of North Carolina at Charlotte,12/31/2021,50000.0
"=""2035626""",no,"SBIR Phase I:  Edible, water soluble corn zein films for shelf life extension and improved safety of perishable foods",TI,02/01/2021,2021,CA,"AKORN TECHNOLOGY, INC.",08/31/2021,255994.0
"=""2106633""",no,I-Corps: A modeling-simulation-visualization framework for decision making in  agricultural systems using data analytics and visualization,TI,02/01/2021,2021,VA,Virginia Polytechnic Institute and State University,07/31/2021,50000.0
"=""2104454""",no,I-Corps: Device to deliver cold plasma therapeutic to wound sites to promote wound healing,TI,02/01/2021,2021,OK,Oklahoma State University,12/31/2021,50000.0
"=""2115164""",no,Collaborative Research: National Symposium on PRedicting Emergence of Virulent Entities by Novel Technologies (PREVENT),CCF,02/01/2021,2021,WI,University of Wisconsin-Madison,09/30/2021,15624.0
"=""2043697""",no,"SCC-CIVIC-PG Track B Convergence, Inventory, Matching, and Assignment (CIMA) to Optimize Post-event Housing Repair for Displaced Vulnerable Populations",CNS,02/01/2021,2021,VA,Old Dominion University Research Foundation,07/31/2021,50000.0
"=""2036649""",no,SBIR Phase I:  Ultra-high throughput parallel optical links for chip-to-chip interconnects.,TI,02/01/2021,2021,CA,"AVICENATECH, CORP.",07/31/2021,255612.0
"=""2041140""",no,"SCC-CIVIC-PG Track A: Human-centered, integrated mobility for disadvantaged communities in the San Diego region",CNS,01/15/2021,2021,CA,University of California-San Diego,06/30/2021,50000.0
"=""2035981""",no,SBIR Phase I:  Development of a Novel Biosensor to Accelerate Investigations of COVID-19 and the Gut Microbiome.,TI,01/15/2021,2021,IL,"BIOMESENSE, INC.",06/30/2021,255658.0
"=""2042600""",no,"""SCC-CIVIC-PG Track B: Co-creating Data for Disaster Resilience with Historically Marginalized Communities in Savannah.""",CNS,01/15/2021,2021,GA,Georgia Tech Research Corporation,12/31/2021,49957.0
